elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
318.1789999999999,0.226,0.867,-0.357,25.305,-12.561,14.024
318.2479999999999,0.253,0.77,-0.214,47.012,-12.744,19.512
318.3269999999999,0.257,0.567,-0.254,119.878,39.39,56.524
318.4059999999999,0.587,0.268,-0.653,186.829,190.671,97.5
318.4559999999999,0.432,0.168,-0.432,167.622,181.585,148.11
318.4749999999999,0.501,0.153,-0.39,166.768,181.22,150.61
318.5539999999999,0.975,-0.21,-0.402,142.439,139.817,202.317
318.6229999999999,1.173,-0.449,-0.488,87.134,115.366,198.902
318.6829999999999,0.964,-0.527,-0.226,47.622,184.329,181.89
318.7019999999999,1.041,-0.598,-0.091,37.378,169.939,177.378
318.7809999999999,0.629,-0.745,0.214,-5.366,171.89,164.329
318.8309999999999,0.842,-0.866,0.368,-9.207,182.866,143.902
318.8499999999999,0.614,-0.889,0.408,-15.244,162.744,134.268
318.9099999999999,0.63,-0.958,0.443,-14.573,104.817,106.341
318.9289999999999,0.581,-0.91,0.444,-18.72,118.72,94.817
318.9979999999999,0.271,-0.959,0.475,-25.488,41.646,83.11
319.0579999999999,0.188,-0.942,0.408,-23.476,14.939,61.585
319.0769999999999,0.125,-0.95,0.439,-18.293,-1.768,55.427
319.1369999999999,0.251,-0.915,0.403,-7.378,0.183,34.268
319.1559999999999,0.179,-0.926,0.39,-7.622,16.951,32.622
319.2059999999999,0.053,-0.954,0.378,-7.317,7.805,26.524
319.2249999999999,0.093,-0.937,0.366,-4.39,2.073,23.049
319.2849999999999,0.064,-0.929,0.347,-0.854,0.305,4.939
319.3039999999999,0.027,-0.93,0.363,2.988,-4.756,3.841
348.3179999999999,0.052,-0.938,0.327,0.732,1.402,-4.024
348.33699999999993,0.009,-0.943,0.323,0.793,-4.146,-2.5
348.39699999999993,0.053,-0.936,0.326,0.244,5.854,2.439
348.4159999999999,0.083,-0.945,0.326,-0.732,11.829,0.671
348.4659999999999,0.044,-0.959,0.306,-0.976,19.817,-4.573
348.5449999999999,0.113,-0.923,0.337,-0.976,-4.512,-16.951
348.5639999999999,0.145,-0.941,0.371,0.0,-8.171,-24.817
348.6239999999999,0.348,-0.964,0.439,11.524,-18.72,-62.683
348.6929999999999,0.554,-1.094,0.421,25.488,-103.293,-165.427
348.77199999999993,0.679,-0.986,0.464,17.927,-72.5,-201.463
348.7909999999999,0.674,-0.975,0.437,16.402,-114.39,-209.268
348.8409999999999,0.916,-0.874,0.229,3.354,-164.268,-222.866
348.9199999999999,1.064,-0.589,-0.125,-60.976,-274.451,-225.854
348.9989999999999,1.044,-0.34,-0.37,-139.024,-219.39,-212.805
349.0679999999999,0.901,-0.085,-0.584,-192.5,-252.256,-178.049
349.14699999999993,0.629,0.157,-0.66,-209.268,-167.5,-118.841
349.2159999999999,0.342,0.328,-0.503,-203.841,-39.878,-79.512
349.2949999999999,0.072,0.543,0.24,-123.232,51.829,-40.671
349.3739999999999,0.065,0.748,-0.012,1.402,6.463,-9.817
349.4429999999999,0.135,0.906,-0.366,24.634,-3.963,2.561
349.52199999999993,0.274,0.917,-0.238,15.305,-11.707,6.829
349.5719999999999,0.214,0.886,-0.247,27.927,-1.28,11.89
349.5909999999999,0.151,0.826,-0.116,39.512,-7.622,17.988
349.6699999999999,0.071,0.747,-0.414,105.366,-7.622,54.512
349.7489999999999,0.201,0.533,-0.551,160.244,97.805,82.5
349.7989999999999,0.614,0.267,-0.122,180.427,121.89,118.598
349.8179999999999,0.779,0.261,-0.378,192.134,209.756,119.695
349.89699999999993,1.304,0.011,-0.422,157.622,343.354,191.037
349.9469999999999,1.029,-0.27,-0.727,68.537,293.78,226.646
349.9659999999999,0.735,-0.408,-0.317,56.829,237.561,228.659
350.0259999999999,0.827,-0.492,-0.113,1.89,119.268,232.805
350.0449999999999,0.864,-0.749,0.031,3.11,55.61,232.988
350.1239999999999,0.669,-0.791,0.232,-33.232,258.476,233.354
350.1739999999999,0.421,-1.218,0.424,-46.585,106.768,223.354
350.1929999999999,0.769,-1.242,0.396,-35.793,113.354,209.146
350.25299999999993,0.295,-1.115,0.55,-52.5,97.012,161.707
350.27199999999993,0.362,-1.148,0.585,-50.671,58.476,138.354
350.3219999999999,0.599,-0.949,0.529,-25.915,34.512,62.988
350.3409999999999,0.439,-0.882,0.559,-21.098,36.159,43.902
350.4009999999999,0.304,-0.92,0.483,-5.671,32.317,35.427
350.4199999999999,0.381,-0.942,0.547,-5.122,44.573,31.037
350.4799999999999,0.142,-0.956,0.38,2.256,37.195,5.183
350.4989999999999,0.148,-0.917,0.363,6.463,18.354,-2.561
350.5489999999999,0.077,-0.939,0.323,14.39,-37.622,-6.707
350.5679999999999,0.107,-0.965,0.343,10.183,-32.439,-3.598
350.62799999999993,0.079,-0.929,0.332,7.378,-0.915,-17.561
350.64699999999993,0.019,-0.96,0.338,4.512,5.671,-15.915
350.6969999999999,0.055,-0.975,0.336,6.524,-4.146,-6.402
350.7759999999999,-0.062,-0.942,0.337,1.524,-0.671,-5.549
350.7949999999999,-0.026,-0.94,0.303,1.28,-5.976,0.732
350.8549999999999,0.022,-0.947,0.34,1.646,-9.268,2.744
350.8739999999999,0.099,-0.939,0.343,1.646,1.402,0.122
350.9239999999999,-0.005,-0.955,0.318,-0.122,-2.073,2.988
350.9429999999999,0.039,-0.936,0.362,-3.598,-2.073,6.585
351.00299999999993,0.1,-0.935,0.383,-4.451,5.61,7.317
351.02199999999993,0.093,-0.93,0.394,-2.683,11.28,2.195
351.0719999999999,0.008,-0.952,0.34,0.427,-19.512,1.402
351.1509999999999,0.053,-0.938,0.374,-2.195,5.488,2.012
351.1699999999999,0.046,-0.932,0.349,-2.683,7.744,1.89
351.2299999999999,0.051,-0.945,0.348,-1.28,-8.963,2.378
351.2489999999999,0.068,-0.939,0.364,-0.427,-2.195,1.037
351.2989999999999,0.023,-0.946,0.335,1.28,-3.232,-1.646
384.3499999999999,1.213,-0.892,-0.674,-203.171,-219.695,-215.854
384.3999999999999,1.025,-0.718,-0.829,-247.5,-186.768,-189.695
384.4189999999999,0.848,-0.653,-0.916,-262.439,-183.902,-174.39
384.4789999999999,0.779,-0.417,-0.81,-286.159,-86.768,-132.134
384.49799999999993,0.655,-0.351,-0.605,-280.793,-32.073,-121.402
384.5669999999999,0.196,-0.081,-0.603,-244.39,-68.293,-86.037
384.6269999999999,0.372,0.19,-0.334,-185.61,-54.817,-57.805
384.6459999999999,0.374,0.32,-0.242,-164.146,-27.073,-56.707
384.7059999999999,0.329,0.615,-0.141,-100.305,-20.732,-49.939
384.7249999999999,0.328,0.658,-0.114,-82.012,-4.451,-41.28
384.7749999999999,0.188,0.769,-0.053,-39.756,10.671,-21.159
384.7939999999999,0.188,0.814,-0.121,-26.829,13.841,-14.817
384.8539999999999,0.052,0.895,-0.19,3.354,8.293,0.976
384.87299999999993,0.122,0.896,-0.282,8.659,1.28,4.085
384.93299999999994,0.17,0.891,-0.373,12.744,-10.549,3.902
385.0019999999999,0.326,0.888,-0.41,8.415,2.439,2.805
385.0209999999999,0.304,0.87,-0.387,9.329,4.695,1.829
385.0809999999999,0.31,0.856,-0.293,14.207,8.78,3.354
385.0999999999999,0.287,0.846,-0.324,20.183,18.902,6.524
385.1499999999999,0.243,0.844,-0.29,27.988,1.524,14.878
385.1689999999999,0.294,0.787,-0.174,38.902,20.122,17.195
385.2289999999999,0.135,0.815,-0.309,56.646,9.329,26.89
385.24799999999993,0.182,0.714,-0.032,71.89,14.695,33.049
385.30799999999994,0.205,0.675,-0.488,111.22,36.768,53.354
385.3769999999999,0.631,0.449,-0.16,177.5,238.354,90.793
385.3959999999999,0.501,0.391,-0.552,174.695,268.72,121.585
385.4559999999999,0.62,0.05,-0.263,161.098,238.902,198.963
385.4749999999999,1.057,0.008,-0.682,137.561,262.073,205.671
385.5249999999999,0.785,-0.235,-0.38,87.927,199.146,227.561
385.6039999999999,1.08,-0.543,-0.151,23.171,212.561,217.927
385.62299999999993,1.167,-0.608,-0.006,5.793,230.427,207.256
385.68299999999994,0.762,-0.635,0.306,-49.024,194.207,191.768
385.7519999999999,0.764,-0.845,0.526,-53.049,164.695,176.524
385.8309999999999,0.52,-1.029,0.627,-62.073,96.89,153.598
385.8499999999999,0.529,-0.996,0.536,-60.488,114.207,140.915
385.8999999999999,0.183,-1.033,0.561,-63.11,22.927,104.878
385.9789999999999,0.302,-0.953,0.531,-34.939,19.207,52.073
386.05799999999994,0.232,-0.935,0.425,-8.232,-24.268,20.183
386.1269999999999,0.166,-0.925,0.414,4.024,-20.0,-7.683
386.2059999999999,0.095,-0.986,0.367,2.805,-44.329,-0.061
386.2749999999999,-0.015,-0.918,0.276,5.0,7.927,-13.537
386.3539999999999,0.015,-0.92,0.341,6.951,-4.207,-3.902
386.43299999999994,0.057,-0.964,0.301,1.89,-2.988,0.0
386.4829999999999,0.057,-0.926,0.319,0.244,0.549,1.28
386.5019999999999,0.025,-0.914,0.311,1.037,-2.073,0.0
386.5809999999999,0.053,-0.934,0.315,0.732,-4.024,1.098
386.6499999999999,0.065,-0.943,0.348,-2.927,-2.988,3.537
386.7099999999999,0.1,-0.924,0.362,-2.683,2.744,2.744
386.7289999999999,0.058,-0.932,0.333,-2.439,3.354,2.5
386.80799999999994,0.055,-0.934,0.338,1.768,-6.829,-0.793
386.8579999999999,0.092,-0.941,0.367,2.927,-0.427,1.28
386.8769999999999,0.097,-0.938,0.344,3.11,1.768,-1.159
386.9369999999999,0.049,-0.937,0.344,1.22,-7.012,-0.976
386.9559999999999,0.06,-0.923,0.313,1.463,-8.72,0.793
387.0249999999999,0.055,-0.94,0.336,0.61,7.134,-2.927
387.0849999999999,0.055,-0.944,0.341,-0.244,10.488,-1.646
387.1039999999999,0.032,-0.926,0.306,-0.122,8.72,-0.488
387.16399999999993,0.056,-0.943,0.329,-0.732,13.171,-0.366
387.18299999999994,0.011,-0.932,0.287,-1.037,6.402,-0.244
387.2329999999999,0.059,-0.943,0.358,-4.451,-2.927,6.22
387.2519999999999,0.06,-0.934,0.341,-4.146,0.915,7.073
424.31099999999986,0.142,0.896,-0.239,-3.841,0.061,-4.085
424.3899999999999,0.24,0.884,-0.371,6.707,-9.451,5.061
424.4689999999999,0.339,0.872,-0.395,3.659,-4.39,1.707
424.5379999999999,0.301,0.842,-0.306,11.585,3.659,-0.427
424.6169999999999,0.226,0.867,-0.357,25.305,-12.561,14.024
424.68599999999986,0.253,0.77,-0.214,47.012,-12.744,19.512
424.7649999999999,0.257,0.567,-0.254,119.878,39.39,56.524
424.8439999999999,0.587,0.268,-0.653,186.829,190.671,97.5
424.8939999999999,0.432,0.168,-0.432,167.622,181.585,148.11
424.9129999999999,0.501,0.153,-0.39,166.768,181.22,150.61
424.9919999999999,0.975,-0.21,-0.402,142.439,139.817,202.317
425.06099999999986,1.173,-0.449,-0.488,87.134,115.366,198.902
425.12099999999987,0.964,-0.527,-0.226,47.622,184.329,181.89
425.1399999999999,1.041,-0.598,-0.091,37.378,169.939,177.378
425.2189999999999,0.629,-0.745,0.214,-5.366,171.89,164.329
425.2689999999999,0.842,-0.866,0.368,-9.207,182.866,143.902
425.2879999999999,0.614,-0.889,0.408,-15.244,162.744,134.268
425.3479999999999,0.63,-0.958,0.443,-14.573,104.817,106.341
425.3669999999999,0.581,-0.91,0.444,-18.72,118.72,94.817
425.43599999999986,0.271,-0.959,0.475,-25.488,41.646,83.11
425.49599999999987,0.188,-0.942,0.408,-23.476,14.939,61.585
425.5149999999999,0.125,-0.95,0.439,-18.293,-1.768,55.427
425.5749999999999,0.251,-0.915,0.403,-7.378,0.183,34.268
425.5939999999999,0.179,-0.926,0.39,-7.622,16.951,32.622
425.6439999999999,0.053,-0.954,0.378,-7.317,7.805,26.524
425.6629999999999,0.093,-0.937,0.366,-4.39,2.073,23.049
425.7229999999999,0.064,-0.929,0.347,-0.854,0.305,4.939
425.7419999999999,0.027,-0.93,0.363,2.988,-4.756,3.841
